world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,year,continent,female_ratio,male_ratio,lat,lon,cost_of_living,international_ratio,Y1 ,Y2 ,Y3 ,Y4 ,Y5 ,Y6 
1,Harvard University,United States,99.7,72.4,98.7,98.8,34.5,96.1,20152,8.9,25%,2011,North America,,,42.377003,-71.116661,748.037,0.25,-4.26811546561137,-0.351345991097135,-1.679987643263,0.030378733193824,1.4390755337704,0.348360130758313
2,California Institute of Technology,United States,97.7,54.6,98,99.9,83.7,96,2243,6.9,27%,2011,North America,33,67,34.1371019,-118.1252749,748.037,0.27,-4.69295610998404,1.10597187891206,-0.311427766538501,0.16333499245513,0.08099723348444,0.286047988508763
3,Massachusetts Institute of Technology,United States,97.8,82.3,91.4,99.9,87.5,95.6,11074,9,33%,2011,North America,37,63,42.3583961,-71.0956779,748.037,0.33,-4.78472366349367,0.323092665590233,0.0335131391678,-0.809823794974317,-0.003632481029749,0.646234174621288
4,Stanford University,United States,98.3,29.5,98.1,99.2,64.3,94.3,15596,7.8,22%,2011,North America,42,58,37.4313139,-122.1693654,748.037,0.22,-4.24311430112599,1.48347392038185,-1.09544145375714,1.20287338578685,0.487838681153643,0.162564920129547
5,Princeton University,United States,90.9,70.3,95.4,99.9,-,94.2,7929,8.4,27%,2011,North America,45,55,40.3386752,-74.6583655,748.037,0.27,-4.34380295502677,0.285895631117645,-0.57060605142515,-0.275377435154477,0.304645501508473,0.156784117449068
6,University of Cambridge,United Kingdom,90.5,77.7,94.1,94,57,91.2,18812,11.8,34%,2011,Europe,46,54,52.1763896,0.1430888,698.496,0.34,-4.00784721501754,0.072290147484524,-0.918938015469123,-0.660068509740036,0.839194322551708,0.205851217780721
6,University of Oxford,United Kingdom,88.2,77.2,93.9,95.1,73.5,91.2,19919,11.6,34%,2011,Europe,46,54,51.75069,1.2474815,698.496,0.34,-4.15714171654543,0.373418030525052,-0.427997832343868,-0.80728179886169,0.348837180443531,0.143721609790233
8,"University of California, Berkeley",United States,84.2,39.6,99.3,97.8,-,91.1,36186,16.4,15%,2011,North America,50,50,37.8687126,-122.2558681,748.037,0.15,-3.93534499990181,1.17401165859418,-0.721471317169846,0.721140106870817,0.189466009721888,-0.377745488389828
9,Imperial College London,United Kingdom,89.2,90,94.5,88.3,92.9,90.6,15060,11.7,51%,2011,Europe,37,63,51.4988884,-0.176158,698.496,0.51,-4.42496185023911,0.471647487232564,0.457729897380006,-1.45389147386561,0.205817911161183,0.258613020318046
10,Yale University,United States,92.1,59.2,89.7,91.5,-,89.5,11751,4.4,20%,2011,North America,50,50,41.2571305,-72.9896696,748.037,0.2,-3.9559348406669,0.696200438936751,-0.423118178606373,0.076238149875398,0.493674020977394,0.355863308451467
11,"University of California, Los Angeles",United States,83,48.1,92.9,93.2,-,87.7,38206,10.3,15%,2011,North America,52,48,34.07062,-118.44455,748.037,0.15,-3.68721877359896,0.928665692709735,-0.510649685262428,0.410073497063901,0.263403721432662,-0.164158813927353
12,University of Chicago,United States,79.1,62.8,87.9,96.9,-,86.9,14221,6.9,21%,2011,North America,42,58,41.7846874,-87.6007493,748.037,0.21,-3.61073626556344,0.379317021730788,-0.468572824201196,-0.090348185992935,0.032609710009526,-0.085334207298523
13,Johns Hopkins University,United States,80.9,58.5,89.2,92.3,100,86.4,15128,3.6,23%,2011,North America,50,50,39.2964392,-76.592394,748.037,0.23,-3.96625834880715,1.17854026011606,0.544646893258587,-0.241706245986467,-0.4909985211129,-0.026991923866848
14,Cornell University,United States,82.2,62.4,88.8,88.1,34.7,83.9,21424,10.2,19%,2011,North America,48,52,42.4505507,-76.4783513,748.037,0.19,-3.09970382060672,-0.159612480103803,-1.34136781561275,0.23516719316934,1.28208706011536,-0.039826532591839
15,ETH Zurich Swiss Federal Institute of Technology Zurich,Switzerland,77.5,93.7,87.8,83.1,-,83.4,18178,14.7,37%,2011,Europe,31,69,47.3764534,8.5477093,1296.412,0.37,-4.16016431841965,-2.61950034659014,2.06600432152307,1.31632011427364,0.59009955962443,0.007581265641158
15,University of Michigan,United States,83.9,53.3,89.1,84.1,59.6,83.4,41786,9,16%,2011,North America,48,52,42.2942142,-83.7100389,748.037,0.16,-3.32981966854248,0.667539470136362,-0.538993450994556,0.298928497871019,0.822628150007358,0.018039257694805
17,University of Toronto,Canada,75.8,-,87.9,82.2,-,82,66198,19.5,15%,2011,North America,,,43.6633335,-79.3976997,695.607,0.15,-3.19790835945749,0.522858906060011,-0.165410929196533,-0.662006356932386,0.535271003302443,-0.165954972338935
